PROTID	GENEID	cGFP_C1_6h_BioID_1_INT	cGFP_C1_6h_BioID_2_INT	cGFP_C1_6h_BioID_3_INT	cGFP_C2_6h_BioID_1_INT	cGFP_C2_6h_BioID_2_INT	cGFP_C2_6h_BioID_3_INT	cGFP_C3_6h_BioID_1_INT	cGFP_C3_6h_BioID_2_INT	cGFP_C3_6h_BioID_3_INT	cGFP_C4_6h_BioID_1_INT	cGFP_C4_6h_BioID_2_INT	cGFP_C4_6h_BioID_3_INT	cGFP_C5_6h_BioID_1_INT	cGFP_C5_6h_BioID_2_INT	cGFP_C5_6h_BioID_3_INT	cGFP_N1_6h_BioID_1_INT	cGFP_N1_6h_BioID_2_INT	cGFP_N1_6h_BioID_3_INT	cGFP_N2_6h_BioID_1_INT	cGFP_N2_6h_BioID_2_INT	cGFP_N2_6h_BioID_3_INT	cGFP_N3_6h_BioID_1_INT	cGFP_N3_6h_BioID_2_INT	cGFP_N3_6h_BioID_3_INT	cGFP_N4_6h_BioID_1_INT	cGFP_N4_6h_BioID_2_INT	cGFP_N4_6h_BioID_3_INT
na	na	cGFP_C1_6h_BioID	cGFP_C1_6h_BioID	cGFP_C1_6h_BioID	cGFP_C2_6h_BioID	cGFP_C2_6h_BioID	cGFP_C2_6h_BioID	cGFP_C3_6h_BioID	cGFP_C3_6h_BioID	cGFP_C3_6h_BioID	cGFP_C4_6h_BioID	cGFP_C4_6h_BioID	cGFP_C4_6h_BioID	cGFP_C5_6h_BioID	cGFP_C5_6h_BioID	cGFP_C5_6h_BioID	cGFP_N1_6h_BioID	cGFP_N1_6h_BioID	cGFP_N1_6h_BioID	cGFP_N2_6h_BioID	cGFP_N2_6h_BioID	cGFP_N2_6h_BioID	cGFP_N3_6h_BioID	cGFP_N3_6h_BioID	cGFP_N3_6h_BioID	cGFP_N4_6h_BioID	cGFP_N4_6h_BioID	cGFP_N4_6h_BioID
O75843	AP1G2	0	0	13691.297	0	0	9947.074	0	0	0	0	9238.685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75844	ZMPSTE24	67446.75	44818.766	85305.15	11344.66	27502.365	55654.008	45910.996	89874.26	40032.004	74444.805	88597.164	72456.62	34505.78	30249.44	47293.242	45299.688	32964.66	70021.29	15121.875	38475.33	45094.316	14906.902	16113.108	23718.496	85807.3	90794.4	18664.291
O75864	PPP1R37	10552.485	10351.862	10135.547	0	0	12003.729	7977.4053	13034.296	0	0	0	0	6316.6484	6674.6787	4732.3154	0	0	0	0	0	0	0	0	0	0	0	0
O75865	TRAPPC6A	0	0	0	0	0	0	0	0	0	14503.963	0	17287.203	0	0	9386.19	0	0	13812.558	0	16094.657	0	0	0	0	24320.928	0	0
O75874	IDH1	117295.695	103895.95	79587.2	64223.445	78566.43	103965.16	93302.64	97507.47	103549.19	119707.414	116412.86	95051.984	129362.86	111034.05	113225.55	8960.491	9634.234	18593.137	23799.527	19890.125	6380.3955	0	22861.19	32140.09	50334.53	30838.355	29075.105
O75880	SCO1	95829.94	96531.31	92812.805	55854.5	56535.69	100800.945	108074.06	95449.664	98569.9	45807.305	86751.84	53513.586	66582.41	80312.61	47522.348	66242.59	48299.355	57138.773	46293.062	51214.32	50758.508	0	0	42695.28	47971.254	85938.47	34432.023
O75884	RBBP9	320009.94	164957.03	191668.23	154375.6	147546.61	145599.0	159314.61	146458.78	158335.05	184470.33	120814.984	176965.6	217332.84	220008.0	205740.78	17141.068	16446.225	15779.067	18747.607	15694.793	16049.265	17648.709	19185.014	20103.924	23911.31	19769.033	18242.703
O75886	STAM2	0	0	18750.184	0	0	20564.715	0	16381.002	0	9700.121	13111.448	49920.215	22401.174	26897.797	36761.996	29059.748	27858.197	34242.844	30513.57	31167.1	25152.312	21785.484	26848.4	17602.037	24402.443	17311.559	15736.712
O75896	TUSC2	21730.47	0	25816.537	52277.91	42316.758	25759.467	40312.52	0	42865.1	31798.895	22571.082	31637.709	30996.72	24475.451	27167.492	52451.17	40858.9	48221.414	45033.145	14586.8545	51803.14	49714.195	47252.305	20402.354	38649.137	50114.25	21710.514
O75909	CCNK	312983.25	309748.5	306980.2	692451.6	731067.6	279612.4	493719.8	241530.98	462683.34	179872.25	194981.42	215700.84	154024.89	154668.22	131965.86	285405.53	291147.8	311260.7	291304.22	275876.12	320299.28	222047.53	228202.06	213485.1	169765.2	189639.16	212031.67
