Protein.Group	8971_Liu_Cov_Lysate_32-1-1_S1-A2_1.d	8973_Liu_Cov_Lysate_32-1-2_S1-A4_1.d	8975_Liu_Cov_Lysate_32-1-3_S1-A6_1.d	8977_Liu_Cov_Lysate_32-8-1_S1-A8_1.d	8979_Liu_Cov_Lysate_32-8-2_S1-A10_1.d	8981_Liu_Cov_Lysate_32-8-3_S1-A12_1.d	8983_Liu_Cov_Lysate_32-16-1_S1-B2_1.d	8985_Liu_Cov_Lysate_32-16-2_S1-B4_1.d	8987_Liu_Cov_Lysate_32-16-3_S1-B6_1.d
O43809	48872.5	36958.3	35453.1	34483.1	30616.2	32290.6	25065.5	24025.6	25198.4
Q96P47	89005.1	110223.0	105105.0	100356.0	102277.0	106181.0	93309.4	94390.6	99001.2
P29144	266664.0	294798.0	304976.0	258376.0	292066.0	286254.0	261433.0	290230.0	243587.0
Q8N9L1	395603.0	396524.0	383626.0	342378.0	349911.0	318731.0	304705.0	320639.0	288644.0
Q8TDC0	4203.16	4111.8	3927.77	3621.82	3744.51	4358.14	3928.53	3445.93	3107.23
Q0P6D2	2438.44	3183.19	5030.83	3773.61	3655.22	3723.33	3478.88	4197.32	3775.69
Q96EX2	70151.8	73806.3	74752.7	49490.2	50596.6	53301.5	53675.7	54599.9	56756.6
P47897	19206.4	11154.1	11985.1	33504.4	26482.6	33848.8	14849.3	21675.4	20986.3
Q14011	32147.6	27273.5	28893.7	42189.9	43069.2	44483.2	33282.3	34054.0	38059.4
Q05086	67001.2	74310.5	71864.1	62933.8	62542.2	64437.6	65903.3	63005.5	63803.6
Q6UXH0	191300.0	168144.0	196244.0	132032.0	128757.0	164001.0	133355.0	148854.0	151007.0
A4D1T9	110521.0	110565.0	104303.0	122638.0	116356.0	116563.0	138569.0	140113.0	143619.0
A4D1N5	366074.0	358360.0	393922.0	519141.0	467487.0	499959.0	513993.0	494090.0	460195.0
Q6UB99	100778.0	93388.3	93718.2	113468.0	115143.0	120284.0	115355.0	111243.0	113874.0
O94919	870518.0	853923.0	754859.0	757355.0	805231.0	686936.0	789955.0	999267.0	845841.0
